,LAUS Code,State,County,County Name/State Abbr,Period,Labor,Employed,Unemployed,Rate
9400,CN5302100000000,53.0,21.0,"Franklin County, WA",Oct-19,43354,41360,1994,4.6
9401,CN5302300000000,53.0,23.0,"Garfield County, WA",Oct-19,945,902,43,4.6
9402,CN5302500000000,53.0,25.0,"Grant County, WA",Oct-19,47617,45227,2390,5
9403,CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Oct-19,29248,27518,1730,5.9
9404,CN5302900000000,53.0,29.0,"Island County, WA",Oct-19,36951,35358,1593,4.3
9405,CN5303100000000,53.0,31.0,"Jefferson County, WA",Oct-19,13304,12681,623,4.7
9406,CN5303300000000,53.0,33.0,"King County, WA",Oct-19,1290236,1256592,33644,2.6
9407,CN5303500000000,53.0,35.0,"Kitsap County, WA",Oct-19,130423,125361,5062,3.9
9408,CN5303700000000,53.0,37.0,"Kittitas County, WA",Oct-19,24612,23542,1070,4.3
9409,CN5303900000000,53.0,39.0,"Klickitat County, WA",Oct-19,10417,9945,472,4.5
9410,CN5304100000000,53.0,41.0,"Lewis County, WA",Oct-19,35291,33470,1821,5.2
9411,CN5304300000000,53.0,43.0,"Lincoln County, WA",Oct-19,5022,4812,210,4.2
9412,CN5304500000000,53.0,45.0,"Mason County, WA",Oct-19,26530,25169,1361,5.1
9413,CN5304700000000,53.0,47.0,"Okanogan County, WA",Oct-19,20564,19604,960,4.7
9414,CN5304900000000,53.0,49.0,"Pacific County, WA",Oct-19,8636,8110,526,6.1
9415,CN5305100000000,53.0,51.0,"Pend Oreille County, WA",Oct-19,5144,4793,351,6.8
9416,CN5305300000000,53.0,53.0,"Pierce County, WA",Oct-19,448395,428436,19959,4.5
9417,CN5305500000000,53.0,55.0,"San Juan County, WA",Oct-19,8751,8471,280,3.2
9418,CN5305700000000,53.0,57.0,"Skagit County, WA",Oct-19,63801,60862,2939,4.6
9419,CN5305900000000,53.0,59.0,"Skamania County, WA",Oct-19,5602,5357,245,4.4
9420,CN5306100000000,53.0,61.0,"Snohomish County, WA",Oct-19,439529,426954,12575,2.9
9421,CN5306300000000,53.0,63.0,"Spokane County, WA",Oct-19,258979,248088,10891,4.2
9422,CN5306500000000,53.0,65.0,"Stevens County, WA",Oct-19,19167,18194,973,5.1
9423,CN5306700000000,53.0,67.0,"Thurston County, WA",Oct-19,145859,139729,6130,4.2
9424,CN5306900000000,53.0,69.0,"Wahkiakum County, WA",Oct-19,1389,1306,83,6
9425,CN5307100000000,53.0,71.0,"Walla Walla County, WA",Oct-19,31865,30626,1239,3.9
9426,CN5307300000000,53.0,73.0,"Whatcom County, WA",Oct-19,116357,111328,5029,4.3
9427,CN5307500000000,53.0,75.0,"Whitman County, WA",Oct-19,25031,24041,990,4
9428,CN5307700000000,53.0,77.0,"Yakima County, WA",Oct-19,137142,130792,6350,4.6
12609,CN5300100000000,53.0,1.0,"Adams County, WA",Nov-19,9257,8748,509,5.5
12610,CN5300300000000,53.0,3.0,"Asotin County, WA",Nov-19,10682,10291,391,3.7
12611,CN5300500000000,53.0,5.0,"Benton County, WA",Nov-19,103890,99040,4850,4.7
12612,CN5300700000000,53.0,7.0,"Chelan County, WA",Nov-19,43665,41648,2017,4.6
12613,CN5300900000000,53.0,9.0,"Clallam County, WA",Nov-19,29296,27577,1719,5.9
12614,CN5301100000000,53.0,11.0,"Clark County, WA",Nov-19,246005,235364,10641,4.3
12615,CN5301300000000,53.0,13.0,"Columbia County, WA",Nov-19,1878,1778,100,5.3
12616,CN5301500000000,53.0,15.0,"Cowlitz County, WA",Nov-19,48596,45978,2618,5.4
12617,CN5301700000000,53.0,17.0,"Douglas County, WA",Nov-19,21483,20336,1147,5.3
12618,CN5301900000000,53.0,19.0,"Ferry County, WA",Nov-19,2430,2188,242,10
12619,CN5302100000000,53.0,21.0,"Franklin County, WA",Nov-19,42399,39964,2435,5.7
12620,CN5302300000000,53.0,23.0,"Garfield County, WA",Nov-19,927,874,53,5.7
12621,CN5302500000000,53.0,25.0,"Grant County, WA",Nov-19,45380,42446,2934,6.5
12622,CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Nov-19,29213,27290,1923,6.6
12623,CN5302900000000,53.0,29.0,"Island County, WA",Nov-19,37238,35577,1661,4.5
12624,CN5303100000000,53.0,31.0,"Jefferson County, WA",Nov-19,13339,12658,681,5.1
12625,CN5303300000000,53.0,33.0,"King County, WA",Nov-19,1298436,1265360,33076,2.5
12626,CN5303500000000,53.0,35.0,"Kitsap County, WA",Nov-19,131624,126391,5233,4
12627,CN5303700000000,53.0,37.0,"Kittitas County, WA",Nov-19,24220,23088,1132,4.7
12628,CN5303900000000,53.0,39.0,"Klickitat County, WA",Nov-19,10027,9514,513,5.1
12629,CN5304100000000,53.0,41.0,"Lewis County, WA",Nov-19,35428,33422,2006,5.7
12630,CN5304300000000,53.0,43.0,"Lincoln County, WA",Nov-19,4992,4768,224,4.5
12631,CN5304500000000,53.0,45.0,"Mason County, WA",Nov-19,26705,25248,1457,5.5
12632,CN5304700000000,53.0,47.0,"Okanogan County, WA",Nov-19,19224,17978,1246,6.5
12633,CN5304900000000,53.0,49.0,"Pacific County, WA",Nov-19,8556,7977,579,6.8
12634,CN5305100000000,53.0,51.0,"Pend Oreille County, WA",Nov-19,5171,4791,380,7.3
12635,CN5305300000000,53.0,53.0,"Pierce County, WA",Nov-19,449788,428706,21082,4.7
12636,CN5305500000000,53.0,55.0,"San Juan County, WA",Nov-19,8533,8235,298,3.5
12637,CN5305700000000,53.0,57.0,"Skagit County, WA",Nov-19,63525,60306,3219,5.1
12638,CN5305900000000,53.0,59.0,"Skamania County, WA",Nov-19,5622,5349,273,4.9
12639,CN5306100000000,53.0,61.0,"Snohomish County, WA",Nov-19,441899,429513,12386,2.8
12640,CN5306300000000,53.0,63.0,"Spokane County, WA",Nov-19,259520,247834,11686,4.5
12641,CN5306500000000,53.0,65.0,"Stevens County, WA",Nov-19,19276,18141,1135,5.9
12642,CN5306700000000,53.0,67.0,"Thurston County, WA",Nov-19,146356,139933,6423,4.4
12643,CN5306900000000,53.0,69.0,"Wahkiakum County, WA",Nov-19,1384,1296,88,6.4
12644,CN5307100000000,53.0,71.0,"Walla Walla County, WA",Nov-19,31486,30193,1293,4.1
12645,CN5307300000000,53.0,73.0,"Whatcom County, WA",Nov-19,116639,111274,5365,4.6
12646,CN5307500000000,53.0,75.0,"Whitman County, WA",Nov-19,24734,23794,940,3.8
12647,CN5307700000000,53.0,77.0,"Yakima County, WA",Nov-19,129158,120859,8299,6.4
15828,CN5300100000000,53.0,1.0,"Adams County, WA",Dec-19,8916,8238,678,7.6
15829,CN5300300000000,53.0,3.0,"Asotin County, WA",Dec-19,10718,10305,413,3.9
15830,CN5300500000000,53.0,5.0,"Benton County, WA",Dec-19,104514,99030,5484,5.2
15831,CN5300700000000,53.0,7.0,"Chelan County, WA",Dec-19,43733,41462,2271,5.2
15832,CN5300900000000,53.0,9.0,"Clallam County, WA",Dec-19,29222,27467,1755,6
15833,CN5301100000000,53.0,11.0,"Clark County, WA",Dec-19,248649,238263,10386,4.2
15834,CN5301300000000,53.0,13.0,"Columbia County, WA",Dec-19,1872,1769,103,5.5
15835,CN5301500000000,53.0,15.0,"Cowlitz County, WA",Dec-19,48780,46121,2659,5.5
15836,CN5301700000000,53.0,17.0,"Douglas County, WA",Dec-19,21388,20127,1261,5.9
15837,CN5301900000000,53.0,19.0,"Ferry County, WA",Dec-19,2415,2143,272,11.3
15838,CN5302100000000,53.0,21.0,"Franklin County, WA",Dec-19,42375,39338,3037,7.2
15839,CN5302300000000,53.0,23.0,"Garfield County, WA",Dec-19,906,854,52,5.7
15840,CN5302500000000,53.0,25.0,"Grant County, WA",Dec-19,44287,40334,3953,8.9
15841,CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Dec-19,29407,27344,2063,7
15842,CN5302900000000,53.0,29.0,"Island County, WA",Dec-19,37517,35849,1668,4.4
15843,CN5303100000000,53.0,31.0,"Jefferson County, WA",Dec-19,13335,12673,662,5
15844,CN5303300000000,53.0,33.0,"King County, WA",Dec-19,1287339,1255653,31686,2.5
15845,CN5303500000000,53.0,35.0,"Kitsap County, WA",Dec-19,133330,128105,5225,3.9
15846,CN5303700000000,53.0,37.0,"Kittitas County, WA",Dec-19,23687,22459,1228,5.2
15847,CN5303900000000,53.0,39.0,"Klickitat County, WA",Dec-19,9826,9253,573,5.8
15848,CN5304100000000,53.0,41.0,"Lewis County, WA",Dec-19,35394,33329,2065,5.8
15849,CN5304300000000,53.0,43.0,"Lincoln County, WA",Dec-19,5003,4755,248,5
15850,CN5304500000000,53.0,45.0,"Mason County, WA",Dec-19,26437,24974,1463,5.5
15851,CN5304700000000,53.0,47.0,"Okanogan County, WA",Dec-19,19101,17564,1537,8
15852,CN5304900000000,53.0,49.0,"Pacific County, WA",Dec-19,8596,8008,588,6.8
15853,CN5305100000000,53.0,51.0,"Pend Oreille County, WA",Dec-19,5262,4824,438,8.3
15854,CN5305300000000,53.0,53.0,"Pierce County, WA",Dec-19,454337,433261,21076,4.6
15855,CN5305500000000,53.0,55.0,"San Juan County, WA",Dec-19,8396,8096,300,3.6
15856,CN5305700000000,53.0,57.0,"Skagit County, WA",Dec-19,64046,60677,3369,5.3
15857,CN5305900000000,53.0,59.0,"Skamania County, WA",Dec-19,5684,5404,280,4.9
15858,CN5306100000000,53.0,61.0,"Snohomish County, WA",Dec-19,438317,426131,12186,2.8
15859,CN5306300000000,53.0,63.0,"Spokane County, WA",Dec-19,262855,250149,12706,4.8
15860,CN5306500000000,53.0,65.0,"Stevens County, WA",Dec-19,19605,18238,1367,7
15861,CN5306700000000,53.0,67.0,"Thurston County, WA",Dec-19,146960,140647,6313,4.3
15862,CN5306900000000,53.0,69.0,"Wahkiakum County, WA",Dec-19,1387,1296,91,6.6
15863,CN5307100000000,53.0,71.0,"Walla Walla County, WA",Dec-19,30288,28840,1448,4.8
15864,CN5307300000000,53.0,73.0,"Whatcom County, WA",Dec-19,117044,111560,5484,4.7
15865,CN5307500000000,53.0,75.0,"Whitman County, WA",Dec-19,24593,23662,931,3.8
15866,CN5307700000000,53.0,77.0,"Yakima County, WA",Dec-19,128962,118684,10278,8
19047,CN5300100000000,53.0,1.0,"Adams County, WA",Jan-20,8521,7860,661,7.8
19048,CN5300300000000,53.0,3.0,"Asotin County, WA",Jan-20,10636,10187,449,4.2
19049,CN5300500000000,53.0,5.0,"Benton County, WA",Jan-20,104938,98912,6026,5.7
19050,CN5300700000000,53.0,7.0,"Chelan County, WA",Jan-20,43223,40638,2585,6
19051,CN5300900000000,53.0,9.0,"Clallam County, WA",Jan-20,29854,27637,2217,7.4
19052,CN5301100000000,53.0,11.0,"Clark County, WA",Jan-20,247962,236675,11287,4.6
19053,CN5301300000000,53.0,13.0,"Columbia County, WA",Jan-20,1757,1643,114,6.5
19054,CN5301500000000,53.0,15.0,"Cowlitz County, WA",Jan-20,48962,46069,2893,5.9
19055,CN5301700000000,53.0,17.0,"Douglas County, WA",Jan-20,20982,19514,1468,7
19056,CN5301900000000,53.0,19.0,"Ferry County, WA",Jan-20,2472,2173,299,12.1
19057,CN5302100000000,53.0,21.0,"Franklin County, WA",Jan-20,42102,38934,3168,7.5
19058,CN5302300000000,53.0,23.0,"Garfield County, WA",Jan-20,838,775,63,7.5
19059,CN5302500000000,53.0,25.0,"Grant County, WA",Jan-20,44885,40834,4051,9
19060,CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Jan-20,29736,27483,2253,7.6
19061,CN5302900000000,53.0,29.0,"Island County, WA",Jan-20,37251,35364,1887,5.1
19062,CN5303100000000,53.0,31.0,"Jefferson County, WA",Jan-20,13500,12725,775,5.7
19063,CN5303300000000,53.0,33.0,"King County, WA",Jan-20,1302826,1267790,35036,2.7
19064,CN5303500000000,53.0,35.0,"Kitsap County, WA",Jan-20,132386,126528,5858,4.4
19065,CN5303700000000,53.0,37.0,"Kittitas County, WA",Jan-20,24354,22924,1430,5.9
19066,CN5303900000000,53.0,39.0,"Klickitat County, WA",Jan-20,9774,9125,649,6.6
19067,CN5304100000000,53.0,41.0,"Lewis County, WA",Jan-20,35516,33159,2357,6.6
19068,CN5304300000000,53.0,43.0,"Lincoln County, WA",Jan-20,4729,4447,282,6
19069,CN5304500000000,53.0,45.0,"Mason County, WA",Jan-20,26592,24905,1687,6.3
19070,CN5304700000000,53.0,47.0,"Okanogan County, WA",Jan-20,18778,17048,1730,9.2
19071,CN5304900000000,53.0,49.0,"Pacific County, WA",Jan-20,8587,8009,578,6.7
19072,CN5305100000000,53.0,51.0,"Pend Oreille County, WA",Jan-20,5178,4702,476,9.2
19073,CN5305300000000,53.0,53.0,"Pierce County, WA",Jan-20,454960,431793,23167,5.1
19074,CN5305500000000,53.0,55.0,"San Juan County, WA",Jan-20,8886,8480,406,4.6
19075,CN5305700000000,53.0,57.0,"Skagit County, WA",Jan-20,63887,59954,3933,6.2
19076,CN5305900000000,53.0,59.0,"Skamania County, WA",Jan-20,5668,5335,333,5.9
19077,CN5306100000000,53.0,61.0,"Snohomish County, WA",Jan-20,443958,430141,13817,3.1
19078,CN5306300000000,53.0,63.0,"Spokane County, WA",Jan-20,261965,247355,14610,5.6
19079,CN5306500000000,53.0,65.0,"Stevens County, WA",Jan-20,19266,17678,1588,8.2
19080,CN5306700000000,53.0,67.0,"Thurston County, WA",Jan-20,147321,140249,7072,4.8
19081,CN5306900000000,53.0,69.0,"Wahkiakum County, WA",Jan-20,1383,1287,96,6.9
19082,CN5307100000000,53.0,71.0,"Walla Walla County, WA",Jan-20,29704,28130,1574,5.3
19083,CN5307300000000,53.0,73.0,"Whatcom County, WA",Jan-20,118389,111841,6548,5.5
19084,CN5307500000000,53.0,75.0,"Whitman County, WA",Jan-20,24258,23303,955,3.9
19085,CN5307700000000,53.0,77.0,"Yakima County, WA",Jan-20,128105,117324,10781,8.4
22266,CN5300100000000,53.0,1.0,"Adams County, WA",Feb-20,8492,7877,615,7.2
22267,CN5300300000000,53.0,3.0,"Asotin County, WA",Feb-20,10651,10212,439,4.1
22268,CN5300500000000,53.0,5.0,"Benton County, WA",Feb-20,105195,99430,5765,5.5
22269,CN5300700000000,53.0,7.0,"Chelan County, WA",Feb-20,43045,40507,2538,5.9
22270,CN5300900000000,53.0,9.0,"Clallam County, WA",Feb-20,29302,27410,1892,6.5
22271,CN5301100000000,53.0,11.0,"Clark County, WA",Feb-20,248872,237565,11307,4.5
22272,CN5301300000000,53.0,13.0,"Columbia County, WA",Feb-20,1780,1673,107,6
22273,CN5301500000000,53.0,15.0,"Cowlitz County, WA",Feb-20,49047,46176,2871,5.9
22274,CN5301700000000,53.0,17.0,"Douglas County, WA",Feb-20,20992,19575,1417,6.8
22275,CN5301900000000,53.0,19.0,"Ferry County, WA",Feb-20,2502,2170,332,13.3
22276,CN5302100000000,53.0,21.0,"Franklin County, WA",Feb-20,42448,39385,3063,7.2
22277,CN5302300000000,53.0,23.0,"Garfield County, WA",Feb-20,814,757,57,7
22278,CN5302500000000,53.0,25.0,"Grant County, WA",Feb-20,44955,41109,3846,8.6
22279,CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Feb-20,29442,27366,2076,7.1
22280,CN5302900000000,53.0,29.0,"Island County, WA",Feb-20,37080,35273,1807,4.9
22281,CN5303100000000,53.0,31.0,"Jefferson County, WA",Feb-20,13319,12582,737,5.5
22282,CN5303300000000,53.0,33.0,"King County, WA",Feb-20,1310239,1278267,31972,2.4
22283,CN5303500000000,53.0,35.0,"Kitsap County, WA",Feb-20,133434,127812,5622,4.2
22284,CN5303700000000,53.0,37.0,"Kittitas County, WA",Feb-20,24185,22819,1366,5.6
22285,CN5303900000000,53.0,39.0,"Klickitat County, WA",Feb-20,9839,9193,646,6.6
22286,CN5304100000000,53.0,41.0,"Lewis County, WA",Feb-20,35364,33121,2243,6.3
22287,CN5304300000000,53.0,43.0,"Lincoln County, WA",Feb-20,4753,4465,288,6.1
22288,CN5304500000000,53.0,45.0,"Mason County, WA",Feb-20,26576,24931,1645,6.2
22289,CN5304700000000,53.0,47.0,"Okanogan County, WA",Feb-20,18929,17265,1664,8.8
22290,CN5304900000000,53.0,49.0,"Pacific County, WA",Feb-20,8554,7988,566,6.6
22291,CN5305100000000,53.0,51.0,"Pend Oreille County, WA",Feb-20,5183,4711,472,9.1
22292,CN5305300000000,53.0,53.0,"Pierce County, WA",Feb-20,456345,433701,22644,5
22293,CN5305500000000,53.0,55.0,"San Juan County, WA",Feb-20,8485,8124,361,4.3
22294,CN5305700000000,53.0,57.0,"Skagit County, WA",Feb-20,63484,59855,3629,5.7
22295,CN5305900000000,53.0,59.0,"Skamania County, WA",Feb-20,5667,5355,312,5.5
22296,CN5306100000000,53.0,61.0,"Snohomish County, WA",Feb-20,446145,433844,12301,2.8
22297,CN5306300000000,53.0,63.0,"Spokane County, WA",Feb-20,262904,248229,14675,5.6
22298,CN5306500000000,53.0,65.0,"Stevens County, WA",Feb-20,19367,17706,1661,8.6
22299,CN5306700000000,53.0,67.0,"Thurston County, WA",Feb-20,148241,141303,6938,4.7
22300,CN5306900000000,53.0,69.0,"Wahkiakum County, WA",Feb-20,1361,1268,93,6.8
22301,CN5307100000000,53.0,71.0,"Walla Walla County, WA",Feb-20,30292,28821,1471,4.9
22302,CN5307300000000,53.0,73.0,"Whatcom County, WA",Feb-20,118175,112296,5879,5
22303,CN5307500000000,53.0,75.0,"Whitman County, WA",Feb-20,24585,23645,940,3.8
22304,CN5307700000000,53.0,77.0,"Yakima County, WA",Feb-20,130037,119652,10385,8
25485,CN5300100000000,53.0,1.0,"Adams County, WA",Mar-20,8464,7979,485,5.7
25486,CN5300300000000,53.0,3.0,"Asotin County, WA",Mar-20,10220,9846,374,3.7
25487,CN5300500000000,53.0,5.0,"Benton County, WA",Mar-20,103923,98678,5245,5
25488,CN5300700000000,53.0,7.0,"Chelan County, WA",Mar-20,42624,40402,2222,5.2
25489,CN5300900000000,53.0,9.0,"Clallam County, WA",Mar-20,28217,26549,1668,5.9
25490,CN5301100000000,53.0,11.0,"Clark County, WA",Mar-20,242747,232047,10700,4.4
25491,CN5301300000000,53.0,13.0,"Columbia County, WA",Mar-20,1728,1636,92,5.3
25492,CN5301500000000,53.0,15.0,"Cowlitz County, WA",Mar-20,47986,45262,2724,5.7
25493,CN5301700000000,53.0,17.0,"Douglas County, WA",Mar-20,20499,19290,1209,5.9
25494,CN5301900000000,53.0,19.0,"Ferry County, WA",Mar-20,2357,2061,296,12.6
25495,CN5302100000000,53.0,21.0,"Franklin County, WA",Mar-20,42158,39561,2597,6.2
25496,CN5302300000000,53.0,23.0,"Garfield County, WA",Mar-20,770,725,45,5.8
25497,CN5302500000000,53.0,25.0,"Grant County, WA",Mar-20,44589,41488,3101,7
25498,CN5302700000000,53.0,27.0,"Grays Harbor County, WA",Mar-20,28568,26631,1937,6.8
25499,CN5302900000000,53.0,29.0,"Island County, WA",Mar-20,36034,34362,1672,4.6
25500,CN5303100000000,53.0,31.0,"Jefferson County, WA",Mar-20,12908,12225,683,5.3
25501,CN5303300000000,53.0,33.0,"King County, WA",Mar-20,1282512,1211129,71383,5.6
25502,CN5303500000000,53.0,35.0,"Kitsap County, WA",Mar-20,129623,124196,5427,4.2
25503,CN5303700000000,53.0,37.0,"Kittitas County, WA",Mar-20,23677,22383,1294,5.5
